번호,소관부처,사업수행기관,지원분야,공고명,신청시작일자,신청종료일자,등록일자,공고상세URL,신청기간,지원대상,사업개요,해시태그,지원분야중분류,조회수
11,충청북도,충북대학교 산학협력단,기술,[충북] 2026년 충북 청주 강소특구 이노테크 기업 육성 기업 맞춤형 고도화 지원사업 모집 공고,2026-08-24,2026-09-08,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125933,,중소기업,"충북 청주 강소특구에서는 특화분야 기업의 기술ㆍ제품 사업화 과정에서 발생하는 애로사항을 해결하고 사업화 가능성 및 기업 경쟁력을 제고하기 위하여 「기업 맞춤형 고도화 지원 사업」을 시행하오니 관심 있는 기업의 많은 신청 바랍니다. ☞ 충북 청주 강소특구 내 기업 중 특화 분야 관련 사업을 수행하는 과정에서 발생한 기업 문제를 해결하고자 하는 기업 - 특구 외 지역 선정기업은 협약일로부터 2개월 이내 충북 청주 강소특구 내 본사 또는 지사 설립 - 특화분야 : ① 이차전지 분야, ②첨단반도체(ITㆍ부품ㆍ시스템) 분야, ③ AI기반 지","기술,충북,정보화시스템,2026,충북대학교 산학협력단,첨단반도체,특화분야,강소특구,맞춤형,이차전지,지능형,제품,시스템,애로사항,부품,사업화,IT,충청북도,AI",기술사업화/이전/지도,1257
12,전남광주통합특별시,직접수행,기술,[전남광주] 2026년 3차 김치 생산비 절감 설비 지원사업 대상자 모집 공고,2026-08-26,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125932,,중소기업,"전남산 김치의 가격경쟁력 제고로 안정적인 판로 확보를 위해 2026년 김치 생산비 절감 설비 지원사업대상자를 다음과 같이 공모하니 많은 관심과 참여 바랍니다. ☞ 구 전남도 내 김치 또는 절임배추 제조(가공)업체 ☞ 양념 속 넣기, 절임염수 재활용 설비, 기타 자동 시스템 등 생산비 절감 기계ㆍ지원","기술,전남광주,2026,전남광주통합특별시,직접수행,김치,절임배추,김치생산비,설비,자동시스템,생산비절감,기계",기술인력/장비지원,1162
13,전남광주통합특별시,직접수행,기술,[전남광주] 2026년 3차 농촌융복합산업 인증경영체 융복합강화사업 대상자 모집 공고,2026-08-26,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125931,,중소기업,"농촌자원을 활용한 유통ㆍ체험(3차)을 활성화시켜 농촌융복합산업화를 촉진하고 지원하여 농촌융복합산업 발전을 유도하기 위해 2026년 농촌융복합산업 인증경영체 융복합강화사업 대상자를 아래와 같이 공모하니, 농촌융복합산업 인증경영체에서는 많은 관심과 참여 바랍니다. ☞ 공고일 이전 농림축산식품부 장관이 지정한 농촌융복합산업 인증을 받은 (구)전라남도 소재 경영체(법인 또는 개인) - 법인은 총출자금이 5천만원 이상이고, 1년 이상 운영 실적이 있는 법인 또는 개인 ☞ (S/W분야) 가공제품 및 체험프로그램 개발, 시제품 및 디자인 개발 ","기술,전남광주,전남광주통합특별시,농촌융복합산업인증경영체,2026,S/W,가공제품,농촌융복합산업인증,체험프로그램,농촌융복합산업,시제품개발,디자인개발,직접수행",기술사업화/이전/지도,1169
14,전남광주통합특별시,직접수행,경영,[전남광주] 2026년 3차 농식품 제조ㆍ가공 지원사업 대상자 모집 공고,2026-08-26,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125930,,중소기업,"우리 농촌의 다양한 자원을 기반으로 농식품 제조ㆍ가공분야 활성화와 지역농산물 소비에 기여하고, 생산기업의 매출향상과 일자리 창출을 위하여 “2026년 농식품 제조ㆍ가공 지원사업” 대상자를 아래와 같이 공모하니, 농식품 제조ㆍ가공업체(법인, 개인업체)에서는 많은 관심과 참여 바랍니다. ☞ 농식품 제조ㆍ가공업으로 등록된 도내 법인 또는 개인 - (구)전남도 내 생산 농산물을 주원료로 사용하는 농식품 제조ㆍ가공업체 - 공고일 이전 (구)전남도 내에서 농식품 제조ㆍ가공업 영업등록증을 받은 법인(총 출자금 5천만원 이상이고 운영 실적 1년 ","경영,전남광주,2026,전남광주통합특별시,직접수행,농식품,농식품제조,농식품가공,제조,가공,시설,HACCP,GMP,기계,장비,지역농산물",시설/입지지원,1183
15,전남광주통합특별시,직접수행,경영,[전남광주] 2026년 3차 농촌자원 복합산업화 시군 특화자원사업 대상자 모집 공고,2026-08-26,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125929,,중소기업,"우리 농촌의 다양한 자원을 기반으로 농식품 제조ㆍ가공분야 활성화와 지역농산물 소비에 기여하고, 생산기업의 매출향상과 일자리 창출을 위하여 “2026년 농촌자원 복합산업화 시군 특화자원사업” 대상자를 아래와 같이 공모하니, 농식품 제조ㆍ가공업체(법인, 개인업체)에서는 많은 관심과 참여 바랍니다. ☞ 연매출 5억원 이상의 농식품 제조ㆍ가공하는 법인 또는 개인 - (구)전남도 내에서 생산한 농산물을 주원료로 공고일 이전 (구)전남 도내에서 농식품 제조ㆍ가공업 영업등록증을 받은 법인(총 출자금 5천만 원 이상이고 운영 실적 1년 이상) 또","경영,전남광주,시군특화자원사업,전남광주통합특별시,2026,농식품제조,농식품가공,농촌자원복합산업화,가공,농식품,제조,직접수행",시설/입지지원,1146
16,경상남도,한국전기연구원,기술,[경남] 창원시 2026년 강소특구 이노테크 기업육성 AI-CNC 기반 제품 실증 및 성능 검증 지원 사업 공고,,,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125928,예산 소진시까지,중소기업,"창원시 소재 기업의 기술적 애로해소 및 사업화 지원을 통해 창원 강소특구 특화분야산업을 육성하기 위하여 2026년 강소특구 이노테크 기업육성(AI-CNC 기반 제품 실증 및 성능 검증 지원)을 아래와 같이공고하오니 동 사업에 참여를 희망하는 기업은 공고 내용에 따라 신청하여 주시기 바랍니다. ☞ 강소특구 내 기업, 지역 특화 기업 등 (각 세부 사업별 상이) - (1순위) 강소특구 내 기업 - (2순위) 강소특구 소재 기초지자체 기업 중 ①특화 분야 기업, ②강소특구 육성사업 수혜기업, ③공공기술을 이전 받은 기업 ☞ AI-CNC ","기술,경남,드라이브,AI-CNC,2026,제품실증,제어기,강소특구,한국전기연구원,성능검증,감속기,애로해소,창원시,경상남도,R&D",기술사업화/이전/지도,446
17,경기도,기초자치단체,내수,[경기] 파주시 2026년 수제품 박람회 참가자 모집 공고,2026-08-27,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125927,,소상공인,"「파주시 수제품 생산 및 판매촉진 지원에 관한 조례」 제7조에 따라 수제품 홍보 및 판로 지원을 위한 수제품 박람회를 개최하오니, 참가자 모집에 관내 수제품 소상공인들의 많은 관심과 참여 바랍니다. ☞ 공고일 현재 파주시에 사업자를 등록해 수제품을 생산ㆍ판매하는 소상공인(공정의 50% 이상을 직접 제작하거나 수작업 한 경우) ※ 수제품 : 가죽, 유리, 종이, 금속, 나무 등의 재료를 가지고 생산자가 직접 디자인해 수작업으로 만든 제품 - 판매품목: 도자, 금속, 목재, 섬유, 가죽 등의 다양한 재료를 활용한 창의적인 수제품 ☞ 몽","내수,경기,2026,경기도,기초자치단체,파주시,소상공인,수제품,수제품소상공인,수제품박람회,박람회",오프라인,384
18,충청북도,충청북도기업진흥원,수출,[충북] 2026년 농식품 해외 무역사절단 파견(호주) 모집 재공고,2026-08-11,2026-08-31,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125926,,중소기업,"도내 농식품 수출기업의 해외시장 개척 기회를 제공하기 위해 수출 유망지역 중심 무역사절단을 파견하고자 합니다. 도내 농식품 수출기업 분들의 많은 신청바랍니다. ☞ 도내 농식품 수출기업 ☞ 바이어 발굴 및 상담 지원비, 상담장 임차료, 통역비, 항공료 40%, 현지 차량 및 기타 행정 등 지원","수출,충북,2026,차량,통역비,임차료,호주,항공료,무역사절단,농식품,수출기업,충청북도,충청북도기업진흥원,바이어,상담",시장개척,391
19,경기도,기초자치단체,경영,[경기] 고양시 2027년 기업환경 개선사업 모집 공고,2026-08-24,2026-09-11,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125925,,중소기업,"관내 중ㆍ소기업의 열악한 근로환경 개선을 위하여 사업비용의 일부를 지원하는 「2027년 소규모 기업환경 개선사업」에 참가할 기업을 아래와 같이 모집하오니 관심 있는 중·소기업은 신청하여 주시기 바랍니다. ☞ 관내 본사 또는 공장이 소재한 제조 중소기업 - 1) 공장 등록이 되어있는 제조 기업 - 2) 공장 등록이 되어있지 않은 경우, 현재 사용 중인 공장 건축면적이 500㎡ 미만이고 건축물 용도가 건축법상 공장 또는 제2종 근린생활시설인 제조 기업 ☞ 기반시설, 노동복지, 소방안전(작업환경, 소방시설) 등 기업환경 개선 지원 ※ 자","경영,경기,노동복지,2026,노동환경,소방안전,기업환경개선,작업환경,환경개선,중소제조기업,기초자치단체,제조기업,경기도,중소기업,고양시,기반시설",시설/입지지원,384
20,경상남도,모두의경제사회적협동조합,경영,[경남] 2026년 (예비)사회적기업 사회적가치지표(SVI) 컨설팅 참여기업 모집 공고,2026-08-27,2026-09-04,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125924,,사회적기업,"경남 (예비)사회적기업의 현재 사회적가치를 파악하고, 개선 기준점 설정ㆍ관리를 통한 사회적가치 향상을 지원하기 위한「2026년 경남 (예비)사회적기업 사회적가치지표(SVI) 컨설팅」의 참여기업을 모집하오니, 경남지역 (예비)사회적기업의 많은 관심과 참여 바랍니다. ☞ 도내 (예비)사회적기업 ☞ 사회적가치지표(SVI) 작성 컨설팅 지원","경영,경남,2026,SVI,모두의경제사회적협동조합,사회적가치지표,경상남도,컨설팅,예비사회적기업",컨설팅,381
21,경기도,기초자치단체,경영,[경기] 안산시 2027년 기업환경 개선사업 모집 공고,2026-09-01,2026-09-18,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125923,,중소기업,"관내 중ㆍ소기업의 열악한 근로환경 개선을 위하여 사업비용의 일부를 지원하는 「2027년 소규모 기업환경 개선사업」에 참가할 기업을 아래와 같이 모집하오니 관심 있는 중·소기업은 신청하여 주시기 바랍니다. ☞ 도내 소재 중소기업(제조업) 등 ※ 자세한 지원대상 공고문 참조 ☞ 노동복지, 소방안전(작업환경, 소방시설) 등 기업환경 개선 지원 ※ 자세한 지원내용 공고문 참조","경영,경기,노동복지,2026,노동환경,소방안전,기업환경개선,작업환경,안산시,환경개선,중소제조기업,기초자치단체,제조기업,경기도,중소기업",시설/입지지원,387
22,부산광역시,부산정보산업진흥원,경영,[부산] 2026년 3차 게임콘텐츠 멀티부스팅 지원사업 추가 모집 공고,2026-08-27,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125922,,중소기업,"부산정보산업진흥원은 부산 지역 게임 기업 성장을 위한 「게임콘텐츠 멀티부스팅 지원사업」을 시행하고자 합니다. 본 사업은 부산 소재 게임 기업을 대상으로 게임 개발의 완성도를 높이는 게임 고도화, 시장 출시 및 홍보를 위한 게임 상용화까지, 기업의 필요에 맞는 다양한 지원 분야를 제공합니다. 부산 지역 게임 기업 분들의 많은 관심과 참여 부탁드립니다. ☞ 사업공고일 기준, 본사 사업장 소재지가 부산광역시에 위치한 게임콘텐츠 제작 기업 - (게임 고도화) 정식 출시(공고일 기준 앞선 해보기 개시 2년 미만) 1년 미만의 게임 콘텐츠 또","경영,부산,게임콘텐츠제작기업,2026,멀티부스팅,게임고도화,게임콘텐츠기업,게임콘텐츠,부산정보산업진흥원,부산광역시,컨설팅",디자인/상품화/사업화,396
23,경기도,기초자치단체,경영,[경기] 의정부시 2027년 기업환경 개선사업 참여기업 모집 공고,2026-08-27,2026-09-18,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125921,,중소기업,"중소 제조기업의 열악한 노동ㆍ작업환경 개선을 통해 경영활동에만 전념할 수 있도록 하여 지역경제 활성화 및 일자리 창출에 기여하고자 2027년 「기업환경 개선사업」 모집공고를 다음과 같이 공고합니다. ☞ 사업자등록 후 1년 이상 영업중인 관내 중소 제조기업 등 ※ 자세한 지원대상 공고문 참조 ☞ 노동복지, 소방안전(작업환경, 소방시설) 등 기업환경 개선 지원 ※ 자세한 지원내용 공고문 참조","경영,경기,노동복지,2026,노동환경,소방안전,의정부시,기업환경개선,작업환경,환경개선,중소제조기업,기초자치단체,제조기업,경기도,중소기업",시설/입지지원,364
24,경상북도,경상북도경제진흥원,수출,[경북] 2026년 중소기업 글로벌 온라인몰 입점 지원 참가기업 추가 모집 공고,2026-08-27,2026-11-30,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125920,,중소기업,경상북도와 (재)경북경제진흥원은 도내 수출유망 중소기업의 해외 시장 판로개척 지원을 위해「2026 중소기업 글로벌 온라인몰 입점 지원」사업을 추진하오니 해외 온라인시장 진출 확대의 기회를 얻고자 하는 기업에서는 많은 신청을 바랍니다. ☞ 도내 소재한 중소기업으로 제조 또는 수출 기업 ① 경북도내 소재한 공장등록증 보유 중소기업 ② (제조시설 면적 500㎡미만일 경우) 건물건축물대장 용도가 경북도내 소재로 공장 또는 제조업소로 명시된 기업 ③ 수출신고필증 내 수출대행자 또는 수출화주 또는 제조자가 경북 소재로 표기된 기업 ☞ 해외 유,"수출,경북,알리익스프레스,해외온라인마켓,월마트,2026,줌,엣시,라자다,큐텐,이베이,온라인시장,알리바바,입점,온라인몰,프로모션,쇼피,경상북도경제진흥원,제품홍보,인증,경상북도,중소기업,아마존",해외진출준비,409
25,경기도,시흥산업진흥원,내수,[경기] 시흥시 2026년 소비재 판촉전(월곶포구 축제 연계) 참여기업 모집 공고,2026-08-28,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125919,,중소기업,"시흥산업진흥원은 관내 소비재기업의 판로개척을 지원하고, 축제와 연계한 현장 판촉을 통해 기업의 내수시장 진출 및 소비자 접점 확대를 지원하고자 「2026년 소비재 판촉전(월곶포구 축제 연계)」을 개최합니다. 이에 따라 다음과 같이 참여기업을 모집하오니 관내 소비재 기업의 많은 관심과 참여 바랍니다. ☞ 사업장(본사 또는 공장)이 시흥시에 소재한 소비재 중소기업 ☞ 시흥 소재 소비재 기업 제품 전시ㆍ판매 및 홍보 지원 - 월곶포구 축제 방문객 대상 현장 판촉 지원 - 축제와 연계한 관내 소비재 기업의 소비자 접점 확대 및 판로개척 지","내수,경기,월곶포구,2026,소비재기업,제품전시,축제,제품판매,판촉,홍보,시흥시,시흥산업진흥원,경기도,소비재,중소기업",홍보지원,364
26,강원특별자치도,원주의료기기산업진흥원,수출,[강원] 2026년 의료기기 ILS(Innovation Leaders Summit) 연계 한일 수출로드쇼 참가기업 모집 공고,2026-08-27,2026-09-01,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125918,,창업벤처,"도내 의료기기 스타트업의 일본 시장 진출 및 수출시장 다변화를 지원하고자 일본 경제산업성(METI)이 후원하는 글로벌 오픈이노베이션 행사인 ILS(Innovation Leaders Summit)​와 연계하여 「강원 의료기기 한일 수출로드쇼」를 개최합니다. 본 행사를 통해 일본 현지 기업, 바이어 및 의료기관 등과의 교류ㆍ협력 기회를 확대하고, 수출ㆍ투자ㆍ기술협력 등 실질적인 비즈니스 기회를 발굴하고자 하오니, 일본 시장 진출을 희망하는 도내 의료기기 스타트업의 많은 관심과 참여를 바랍니다. ☞ 도내 소재 스타트업 의료기기 업체 - ","수출,창업,강원,돌봄간병,예방의료,원주의료기기산업진흥원,2026,강원특별자치도,수출로드쇼,디지털헬스,웨어러블,행사,참가비,스마트디바이스,바이어매칭,오픈이노베이션,통역,일본시장,의료기기,AI,바이어,스타트업",시장개척,427
27,산업통상부,한국소재부품장비투자기관협의회,기술,2026년 2차 글로벌기술도입지원사업(X&D) 전문가 컨설팅지원 참여기업 모집 공고,2026-08-28,2026-10-01,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125917,,중소기업,"한국소재부품장비투자기관협의회는 2026년 산업기술국제협력 전략기술형 사업의 일환으로「글로벌기술도입지원사업(X&D)」전문가 컨설팅 지원사업을 공고하오니 참여 희망기업은 관련 규정 및 절차에 따라 신청하여 주시기 바랍니다. ☞ 해외기술도입을 희망하는 중소ㆍ중견기업 ※ 기업부설연구소 인정서 보유기업 ☞ 글로벌기술도입(M&A, 지분투자, 합작법인, 특허권확보 등) 협상단계에 있는 기업 대상 전문가 컨설팅 비용 일부 지원","기술,수출,경영,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,글로벌기술도입지원사업,산업통상부,2026,전문가컨설팅,해외기술도입,한국소재부품장비투자기관협의회,M&A,컨설팅,중견기업,중소기업",기술정보제공,486
