번호,소관부처,사업수행기관,지원분야,공고명,신청시작일자,신청종료일자,등록일자,공고상세URL,신청기간,지원대상,사업개요,해시태그,지원분야중분류,조회수
238,전남광주통합특별시,전남사회적경제통합지원센터,내수,[전남광주] 2026년 KEPCO-사회연대경제 상생 팝업스토어 참여기업 모집 공고,2026-08-18,2026-09-01,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125686,,사회적기업,"전남사회적경제통합지원센터에서는 한국전력공사와 사회공헌을 위한 협력을 통해 조달된 자금을 활용하여 전남ㆍ광주지역 사회연대경제기업의 판로 개척을 위한 「2026년 전남ㆍ광주 KEPCO-사회연대경제 상생 팝업스토어」를 추진하오니 참여를 희망하는 기업은 기한 내 신청하여 주시기 바랍니다. ☞ 전남광주통합특별시 사회연대경제기업 ☞ 판매공간, 진열대, 냉장ㆍ냉동고, 홍보물, 홍보 판촉비 등 지원","내수,전남광주,2026,전남광주통합특별시,전남사회적경제통합지원센터,사회연대경제기업,팝업스토어,판매공간,진열대,홍보물,홍보판촉비",오프라인,4492
239,지식재산처,한국지식재산보호원,기술,2026년 4차 국가유산 활용 상품 디자인 보호 지원사업 공고,2026-08-14,2026-08-31,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125685,,중소기업,"세계 속 한류의 지속적 확산을 도모하고, 국가유산, 문화ㆍ관광자원, 한류자원 및 우수산업디자인(GD) 등을 활용한 상품의 지식재산권 보호 강화를 위한「2026년 국가유산 활용 상품 디자인 보호 지원사업」을 아래와 같이 4차 공고합니다. ☞ 국가유산, 문화ㆍ관광자원, 한류자원 및 우수산업디자인(GD) 등을 활용한 상품 제작 기업 등 ※ ‘분쟁대응’ 유형의 경우 기업 3개사 이상으로 구성된 협의체 지원 가능 ☞ 분쟁 상황에 따라 분쟁예방과 분쟁대응으로 구분하여 지원 - 분쟁예방 : 디자인권 보호전략(권리화) 지원 - 분쟁대응(개별, 공","기술,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,지식재산처,2026,보호전략,국가유산,상품디자인,제작기업,대응전략,권리화,한국지식재산보호원,지식재산권,디자인",시험/인증,5016
240,중소벤처기업부,창업진흥원,창업,2026년도 딥테크 특화 창업중심대학 추천형 창업기업 모집 공고,2026-08-21,2026-09-04,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125684,,창업벤처,"신산업 창업 분야 유망 창업기업을 발굴ㆍ지원하는 「2026년도 딥테크 특화 창업중심대학」 추천형 창업기업 모집계획을 공고하오니 많은 참여 바랍니다. ☞ 신산업 창업 분야의 창업 10년 이내 창업기업으로, 지원요건을 충족하며 4대 과학기술원의 추천을 받은 기업 ※ 자세한 지원대상 공고문 참조 ☞ 사업화 자금(평균 1.2억원 내외), 창업프로그램 등 지원","창업,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,2026,창업진흥원,중소벤처기업부,사업화자금,창업프로그램,신산업창업분야,창업10년이내,창업기업,과학기술원,딥테크,딥테크특화,창업중심대학,광주과학기술원,대구경북과학기술원,울산과학기술원,한국과학기술원",사업화지원,6482
241,경기도,경기창조경제혁신센터,경영,2026년 탄소중립펀드 투자유치 피칭데이 참가기업 모집 공고,2026-08-24,2026-09-08,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125683,,중소기업,"「2026 경기도 기후테크 컨퍼런스」에서 투자운용사(AC, VC)를 초청하여 투자유치 공모전(IR, 피칭데이)을 개최하오니, 참가를 희망하는 기업의 많은 신청 바랍니다. ☞ 다음 각호에 해당하는 기업 중 기후테크 분야 기업 - ‘중소기업창업 지원법’ 제2조 제1호에 따른 중소기업 - ‘중소기업창업 지원법’ 제2조 제3호에 따른 창업기업 - ‘벤처기업육성에 관한 특별조치법’ 제2조 제1항에 따른 벤처기업 ☞ 초기 및 도약 창업리그 수상기업 시상금 수여, IR Deck 고도화 및 투자사 대상 홍보 지원","내수,경영,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,경기창조경제혁신센터,경기도,2026,중소기업,IR,피칭데이,AC,VC,기후테크,창업기업,벤처기업,시상금,홍보",디자인/상품화/사업화,5615
242,서울특별시,서울경제진흥원,수출,[서울] 2026년 중동상황 대응 수출위기 극복 물류지원금 지원사업 모집 공고,,,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125682,예산 소진시까지,중소기업,"중동 사태 장기화에 따른 글로벌 물류 차질 및 물류비 상승에 대응하고, 서울 소재 중소기업의 수출 부담을 완화하여 안정적인 수출 활동을 지원하기 위해 「2026년 중동상황 대응 수출위기 극복 물류지원금 지원사업」을 다음과 같이 공고하오니, 참여를 희망하는 기업은 관련 규정 및 절차에 따라 신청하여 주시기 바랍니다. ☞ 서울 소재 수출기업 - (기업소재지) 「중소기업기본법」 제2조에 따른 중소기업으로서, 본사 또는 독립된 사업장(지사 등)이 서울특별시에 소재하며, 해당 사업장을 기준으로 지방세 납세의무가 있는 중소기업 - (대상 국가","수출,서울,2026,서울특별시,서울경제진흥원,수출기업,중소기업,중동,유럽,아프리카,물류지원금,수출위기극복,중동상황대응,물류비",해외진출,5349
243,과학기술정보통신부,정보통신산업진흥원,창업,2026년 GovTech 창업 경진대회 모집 공고,2026-08-20,2026-09-21,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125681,,창업벤처,"2026년 GovTech 창업경진대회가 8월 20일부터 9월 21일까지 참가자를 모집합니다. 많은 참여 바랍니다. ☞ GovTech 분야에 관심 있는 예비창업자(개인 또는 팀) 또는 초기창업기업 ※ 공모분야별 신청자격 상이, 공고문 참조 ☞ 1차 합격자 대상, 역량 강화를 위한 멘토링 및 교육 지원 - 과학기술정보통신부 장관상 등 14점 및 총 상금 7,000만원 시상","창업,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,2026,GovTech,장관상,창업경진대회,아이디어,예비창업자,정보통신산업진흥원,창업기업,과학기술정보통신부,멘토링",사업화지원,3450
244,경기도,경기신용보증재단,금융,[경기] 2026년 2차 중소기업육성자금 융자지원계획 변경 공고,2026-09-01,2026-12-31,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125680,,중소기업,"「경기도 중소기업육성기금 설치 및 운용 조례」 제14조의 규정에 따라 2026년도 제2차 중소기업육성자금 융자지원계획 변경을 다음과 같이 공고합니다. ☞ 경기도 소재 중소기업 ※ 자세한 지원대상 공고문 참조 ☞ 운전자금, 창업 및 경쟁력강화자금 지원 ※ 자세한 지원내용 공고문 참조","금융,경기,수출형기업자금,소상공인지원자금,2026,창업및경쟁력강화자금,중소기업육성자금,운전자금,이차보전,경기신용보증재단,일반자금,경기도,대출,융자",융자,3337
245,서울특별시,서울경제진흥원,수출,[서울] 2026년 중동상황 대응 중소기업 수출위기극복 및 대체시장 개척 심화컨설팅 참여기업 모집 공고,2026-08-20,2026-09-09,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125679,,중소기업,"서울경제진흥원(SBA)에서는 미ㆍ이란 분쟁 등 중동 상황 장기화로 인해 물류ㆍ대금ㆍ계약 애로를 겪거나, 새로운 대체시장으로 진출하려는 서울 소재 중소기업을 위해 「수출 위기극복 및 대체시장 개척 심화 컨설팅 지원사업」을 다음과 같이 공고합니다. ☞ 서울소재 중소기업(서울 관할 세무서에 사업자등록을 한 「중소기업기본법」 제2조에 의한 중소기업) - 중동 수출 이력 보유 기업 : 최근 3년 중동 지역 수출실적증명 제출 가능 기업 - 중동 진출(재진출) 희망 기업 : 중동 진출 희망의향서(붙임 양식) 제출 기업 ☞ 기회발굴, 중동 피해 ","수출,경영,서울,2026,서울특별시,서울경제진흥원,중소기업,중동,현지화,진출조사,인증,규제대응,안정망구축,환리스크,물류비절감,물류,대금,계약,컨설팅,수출위기극복,대체시장개척",해외진출,1737
246,경기도,기초자치단체,창업,2026년 H-스타트업 창업경진대회 참가자 모집 공고,2026-08-20,2026-09-07,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125678,,창업벤처,"혁신적인 창업아이디어를 보유한 유망 (예비)창업자를 발굴하고자 「2026년 H-스타트업 창업경진대회」 개최하여 참가자를 모집하오니 많은 참여 바랍니다. ☞ (전국 단위) 예비창업자 / 업력 3년 이내 초기창업기업 - 참가분야 : 아이디어 기획, 제품ㆍ서비스 개발 부문 ※ 자세한 지원대상 공고문 참조 ☞ 분야별 수상자 대상 상금 및 창업보육공간 지원 ※ 자세한 지원내용 공고문 참조","창업,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,2026,지식창업,창업경진대회,아이디어,기술창업,서비스개발,예비창업자,제품개발,화성시,기초자치단체,창업기업,경기도,초기창업,스타트업",사업화지원,2920
247,산업통상부,한국원자력산업협회,기타,2026년 3차 원전기업 인증 신청기업 모집 공고,2026-08-13,2026-09-14,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125677,,중소기업,경영진의 안전의식을 바탕으로 높은 사업역량을 갖춘 원전기업을 인증함으로써 국내 원전 기술경쟁력 강화 및 원전 안전성 제고를 도모하고자「원전기업 인증제도」를 다음과 같이 시행하고자 하오니 인증을 받고자 하는 기업은 신청하여 주시기 바랍니다. ☞ 한수원 유자격 공급자 등록 중소ㆍ중견기업 및 기타 중소ㆍ중견기업 중 원전사업 참여 중 또는 참여 희망 기업 ☞ 원전기업 인증 지원 ※ 자세한 지원내용 공고문 참조,"기타,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,원전기업인증,산업통상부,2026,원전기업,원전,인증제도,한국원자력산업협회,중견,중소기업",제도,1614
248,경상북도,경상북도경제진흥원,수출,[경북] 상주시 2026년 해외 수출마케팅 협력사업(무역사절단) 참가기업 모집 공고,2026-08-20,2026-09-07,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125676,,중소기업,"상주시와 (재)경상북도경제진흥원은 중소기업의 신규 판로 개척 및 현지 유통망 진입 확대를 위해 「2026년 상주시 해외 수출마케팅 협력사업(무역사절단)」 참가기업을 다음과 같이 모집하오니 많은 참여 바랍니다. ☞ 상주시에 본사 또는 공장이 소재한 중소기업 - 참여품목 : 종합품목(자동차부품, 농업 및 식품, 소비재 등) ☞ 바이어 사전 발굴 및 1:1 상담, 편도 항공료(1인/1개사, 100만원 한도) - 샘플 운송료(1인/1개사, 20만원 한도), 현지 비즈니스 관련 공식 활동 비용(통역, 단체 이동 차량 등) 지원 - 상담회 개","수출,경북,2026,경상북도경제진흥원,경상북도,중소기업,무역사절단,자동차부품,농업,식품,소비재,바이어,항공료,운송료,통역,이동차량,상담회,임차,시장조사",시장개척,1468
249,울산광역시,울산경제일자리진흥원,기술,[울산] 2026년 2차 지역기업 판로개척 패키지 지원사업 기술개발인증 지원사업 모집 공고,2026-08-20,2026-09-21,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125673,,중소기업,"신기술 제품의 우선구매 경쟁력 강화를 통한 지역기업 공공조달 판로개척을 지원하는 「지역기업 판로개척 패키지 지원사업」 -기술개발 인증지원 참가기업을 다음과 같이 모집합니다. ☞ 울산 소재 중소기업 - 제품 성능 평가가 가능한 양산제품(자사제품, B2C 제품 등) 보유기업 ☞ 인증획득 또는 시험비 실비의 80% 지원 - 기술개발제품 인증지원 : 기업당 10백만원 이내 - 조달가점, 법정의무인증, 시험비 지원 : 기업당 5백만원 이내","기술,울산,공공조달 판로개척,기술개발 인증,2026,법정의무인증,울산경제일자리진흥원,지역기업,울산광역시,중소기업,양산제품,인증,시험비",시험/인증,1700
250,부산광역시,부산창조경제혁신센터,창업,2026년 BOUNCE 2026 글로벌 오피스아워 참여 스타트업 모집 공고,2026-08-20,2026-09-04,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125672,,창업벤처,"(재)부산창조경제혁신센터는 국가별 글로벌 파트너와의 1:1 상담을 통해 국내 스타트업의 글로벌 네트워크 확장 및 정보 교류를 위한 상담ㆍ연계 기회를 제공하고자「BOUNCE 2026」내「글로벌 오피스아워」를 운영하오니 참가를 희망하는 스타트업의 많은 신청 바랍니다. ☞ (공고일 기준) 전국 소재 창업 7년 미만 스타트업 ☞ 국가별 전문가와 1:1 현장 밋업을 통해 글로벌 진출 전략, 파트너 발굴, 투자/협업 연계 기회 제공(기업당 25분 내외)","수출,창업,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,글로벌오피스아워,2026,네덜란드,글로벌진출,연계,대만,협업,밋업,싱가포르,인도네시아,투자,부산창조경제혁신센터,부산광역시,베트남,일본,스타트업,상담",사업화지원,2029
251,충청남도,직접수행,경영,[충남] 2027년 전통시장 및 상점가 시설현대화사업 모집 공고,2026-08-19,2026-09-04,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125671,,중소기업,"전통시장 및 상점가 육성을 위한 특별법 제11조ㆍ제20조 및 충청남도 전통시장 및 상점가 육성 조례 제6조에 따라 2027년 충청남도 전통시장 및 상점가 시설현대화사업을 아래와 같이 공고하오니 도내 전통시장ㆍ상점가ㆍ상권활성화구역 및 시ㆍ군의 적극적인 참여를 바랍니다. ☞ 충청남도 내 「전통시장 및 상점가 육성을 위한 특별법」제2조에 따른 전통시장 및 상점가(골목형상점가), 상권활성화 구역으로서 다음 중 어느 하나에 해당하는 사업주체를 보유한 곳 - 시장상인회, 상점가진흥조합, 사업협동조합 또는 협동조합, 법인, 상권관리기구, 시장관","경영,충남,충청남도,직접수행,2026,전통시장,상점가,시설현대화,현대화,상권활성화구역,시장상인회,상점가진흥조합,사업협동조합,협동조합,시장관리자",시설/입지지원,1490
252,서울특별시,서울시여성가족재단,인력,[서울] 2026년 서울커리업 바로채용 참여기업 모집 공고,2026-08-19,2026-10-08,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125670,,중소기업,"서울특별시에서는 경력보유여성의 경제활동 참여 촉진의 일환으로 역량 있는 경력보유여성 채용을 희망하는 「2026년 서울커리업 바로채용」참여기업을 다음과 같이 모집하오니 많은 참여 바랍니다. ☞ 서울 소재, 상시근로자수 5인 이상인 「중소기업기본법」상 중소기업으로 아래 조건을 모두 충족하는 기업 - 하이서울, 서울형 강소기업, 서울시 중소기업 워라밸 포인트제, 가족친화 인증 기업 및 서울커리업(前 우먼업) 인턴십 참여기업 중 하나 이상 해당되는 기업 ☞ 인재매칭, 고용장려금(최대 300만원) 지원 - ’23년~’25년 우먼업 인턴십 수","인력,서울,2026,서울특별시,서울시여성가족재단,서울커리업,중소기업,하이서울,강소기업,가족친화인증기업,고용장려금,인재매칭,경력보유여성,채용",국내일반인력,1878
253,경기도,경기도일자리재단,경영,[경기] 2026년 일터동행 기업 파트너십 참여기업 모집 공고,,,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125667,예산 소진시까지,중소기업,경기도일자리재단(경기광역새일센터)에서는 경기도 내 기업을 대상으로 찾아가는 기업 맞춤형 직무ㆍ조직문화 교육 및 컨설팅을 무료로 지원하여 일ㆍ생활 균형 문화 확산 및 일하기 좋은 기업문화를 조성하고자 참여기업체를 아래와 같이 모집합니다. ☞ 경기도 내 기업으로 상시근로자 10인 이상(교육참여자 10인 이상) 기업 - 여성 재직자 비율이 10% 이상인 기업 ☞ 찾아가는 기업교육 지원,"경영,경기,일터동행기업파트너십,일터동행,좋은기업문화,경기광역새일센터,2026,기업교육,경기도일자리재단,일생활균형,경기도,교육",교육,1823
254,기후에너지환경부,한국수자원공사,창업,2026년 대한민국 물산업 혁신 창업대전 (Startup Water 2026) 참가자(팀) 모집 공고,2026-08-20,2026-10-19,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125666,,창업벤처,"물산업 혁신 및 창업에 대한 국민적 관심을 확산하고 혁신 아이디어 및 유망한 창업기업 발굴을 통해 물산업 혁신 생태계를 조성하기 위해「2026년 대한민국 물산업 혁신 창업대전(STARTUP WATER 2026)」을 개최하오니 관심 있는 여러분들의 많은 참여 바랍니다. ☞ (아이디어 부문) 공고일 기준, 만 19세 이상 예비 창업자 등 / (사업화 부문) 공고일 기준, 업력 7년 이내 창업기업의 대표자 - 공모 분야 : 물안전, 물환경, 물이용 ※ 자세한 지원대상 공고문 참조 ☞ 아이디어 부문 총 상금 17백만원, 사업화 부문 총 상","창업,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,2026,기후에너지환경부,한국수자원공사,사업화,아이디어,창업기업,창업7년이내,예비창업자,인센티브,시상,상금,물산업,창업대전",사업화지원,1708
255,고용노동부,노사발전재단,경영,2026년 일터혁신 우수기업 선정계획 공고,2026-08-20,2026-09-18,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125665,,중소기업,"고용노동부에서는 현장 혁신활동 및 근로생활의 질 향상을 실천하고 있는 우수기업을 선정하여 포상하고 널리 홍보하고자 아래와 같이 일터혁신 우수기업을 선정하오니 많은 참여 바랍니다. ☞ 사업 개시일로부터 3년이 경과되고, 결격사유에 해당하지 않는 일터혁신 성과가 우수한 국내 소재 사업장(접수 마감일 기준) ☞ 사업장 정부포상(고용노동부 장관상), 언론홍보, 현판ㆍ선정패ㆍ우수기업 마크 사용 등 지원","내수,경영,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,2026,선정패,정부포상,언론홍보,현판,일터혁신,우수기업,노사발전재단,고용노동부",디자인/상품화/사업화,1776
256,중소벤처기업부,한국중소벤처기업유통원,내수,2026년 스마트 플래그십 스토어 (소담상회 with LOTTE ON) 모집 공고,2026-08-19,2026-09-11,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125664,,소상공인,"""소담상회 with LOTTE ON""은 중소벤처기업부, 한국중소벤처기업유통원이 함께하는 상생 플랫폼으로 우수한 소상공인 제품에 현대적 기획을 더해 판로 개척과 디지털 전환을 지원하는 O2O 플래그십 스토어 입니다. ☞ 지역 특산물을 활용ㆍ가공한 상품을 제조하는 소상공인 - 지역 특산품과 문화를 활용한 굿즈ㆍ리빙ㆍ팬시 상품을 제작하는 소상공인 - 지역 로컬 콘텐츠 및 브랜드를 보유한 소상공인, 지역 명인 및 전통을 계승하는 프리미엄 소상공인 ☞ 온ㆍ오프라인 입점 (O2O 연계 판매) - LOTTE ON 플랫폼 기획전 진행 및 판매, ","내수,경영,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,스마트체험,LOTTE ON,디지털 전환,2026,한국중소벤처기업유통원,소담상회,팬시,굿즈,리빙,기획전,브랜드,입점,중소벤처기업부,소상공인",오프라인,1929
257,중소벤처기업부,창업진흥원,창업,2026년 민관협력 오픈이노베이션 지원 규제자유특구 지원 창업기업 모집 공고,2026-08-20,2026-09-09,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125663,,창업벤처,"지방정부 및 지역 혁신기관과 창업기업 간 협력을 통한 규제정비 오픈이노베이션 촉진을 위해「민관협력 오픈이노베이션 지원」‘규제자유특구 지원’ 협업 과제 수행에 참여할 창업기업을 다음과 같이 모집합니다. ☞ 규제자유특구를 운영하는 수요기관의 추천 기업이며, 공고일 기준으로「중소기업창업 지원법」의 창업에 해당하는 기업으로 동 공고문 내 신청자격 및 요건을 충족하는 창업기업 ※ 자세한 지원대상 공고문 참조 ☞ 창업기업 대상 규제자유특구 지자체ㆍ지역 혁신기관과 협업 추진에 필요한 사업화 자금(최대 1억원) 및 후속 연계 지원 - (사업화 자","창업,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,2026,기술검증,PoC,시제품제작,창업기업,사업화자금,중소벤처기업부,창업진흥원,충북창조경제혁신센터",사업화지원,2233
258,강원특별자치도,기초자치단체,금융,[강원] 태백시 2026년 청년농업인 정책자금 이차보전 신청자 모집 공고,2026-08-20,2026-09-04,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125662,,중소기업,"청년농업인의 이자 상환부담 경감으로 안정적 영농기반 확보 및 효율적인 정착체계 구축을 위해 추진하는 2026년 청년농업인 정책자금 이차보전 지원사업 신청자를 아래와 같이 모집하오니 많은 신청 바랍니다 ☞ 정책자금 대상자로 선정된 자로 만40세 미만 청년농업인(태백시) ※ 자세한 지원대상 공고문 참조 ☞ 원금상환 이전 거치기간 내 납부한 이자의 50% 지원(최대 3,000천 원)","금융,강원,2026,이자지원,강원특별자치도,청년농업인,정책자금,이차보전,기초자치단체,태백시",융자,1547
259,과학기술정보통신부,세종테크노파크,경영,[세종] 2026년 세종시 중소기업 정보보호 지원 사업 수요기업 모집 공고,2026-08-20,2026-09-18,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125661,,중소기업,"최근 사이버보안 위협이 고도화ㆍ지능화됨에 따라 기업 규모와 관계없이 침해사고가 발생하고 있으나, 중소기업은 보안 인력 및 투자 여력 부족으로 대응 역량 확보에 어려움을 겪고 있습니다. 이에 과학기술정보통신부, 세종특별자치시, 한국인터넷진흥원, 세종테크노파크에서는 지역 전략산업 영위 중소기업 등을 대상으로 정보보호 컨설팅, IT 보안패키지 및 클라우드 기반 보안서비스(SECaaS) 패키지 이용 지원 사업을 시행합니다. 2026년 세종시 중소기업 정보보호 지원 사업의 수요기업을 아래와 같이 모집하고자 하오니, 많은 관심과 참여 바랍니다","경영,세종,IT보안패키지,2026,세종시,세종테크노파크,보안서비스,SECaaS,정보보호,클라우드,한국인터넷진흥원,과학기술정보통신부,컨설팅",컨설팅,1321
260,경상북도,포항테크노파크,기술,[경북] 구미시 2026년 예비수소전문기업 육성 지원사업 공고,2026-08-20,2026-09-04,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125660,,중소기업,"수소산업 육성 전략에 부합하는 수소전문기업 육성을 위한 수혜기업 모집을 다음과 같이 공고하오니, 참여하고자 하는 구미시 내 기업은 안내에 따라 신청하시기를 바랍니다. ☞ 사업자등록증 기준 본사 또는 공장 주소가 구미시 내 소재하는 기업 ☞ 사업화(홍보물 제작 및 전시회) 및 기술개발(시제품제작, 인증ㆍ지식재산권) 지원","기술,경북,2026,수소산업,수소전문기업,포항테크노파크,홍보물제작,지식재산권,구미시,시제품제작,전시회,인증,경상북도",기술사업화/이전/지도,1432
261,충청남도,충남테크노파크,기술,[충남] 지역에너지 문제해결 프로젝트 지원사업 추가모집 공고,2026-08-20,2026-09-09,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125659,,중소기업,"충남테크노파크에서 에너지분야 전문인력 양성을 위해 추진하고 있는「충청권 분산에너지 대응 에너지기술공유대학 사업」을 통해 지역 내 에너지 관련 문제 해결을 목적으로 하는 산학공동 프로젝트를 발굴ㆍ지원하고자 하오니 많은 관심과 참여를 부탁드립니다. ☞ 충남 소재 중소ㆍ중견기업(공고일 현재 사업자등록증 기준) ☞ 지역 에너지문제 해결형 프로젝트 지원 - 소모성 연구재료 구입, 시제품 제작, 시험평가 의뢰, 과제기획 용역 지원","기술,충남,에너지문제,2026,의뢰,연구재료,에너지분야,시험평가,충남테크노파크,시제품제작,충청남도,중견기업,중소기업",기술사업화/이전/지도,1500
262,강원특별자치도,기초자치단체,인력,2026년 춘천시 일자리박람회 참여기업 모집 공고,2026-08-05,2026-08-31,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125658,,중소기업,"춘천시일자리지원센터은 지역기업, 지역인재간의 적재적소 매칭과 기업의 인력난 해소 및 지역인재의 정착 기회를 확대하고자「2026 일자리 박람회 참여기업 지원사업」 참여기업 추가모집을 아래와 같이 공고합니다. ☞ 춘천시 소재 기업 및 관내ㆍ외 우수기업 ☞ 부스, 기업홍보, 현장면접 지원","인력,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,2026,현장면접,강원특별자치도,지역인재,지역기업,기업홍보,춘천시,기초자치단체,박람회,일자리",국내일반인력,1355
263,충청남도,충남테크노파크,기술,[충남] 2026년 에너지기술공유대학 산학공동 에너지프로젝트 지원사업 추가모집 공고,2026-08-20,2026-09-09,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125657,,중소기업,"충남테크노파크에서 에너지분야 전문인력 양성 및 지역정주 지원을 위해 추진하고 있는「충청권 분산에너지 대응 에너지기술공유대학 사업」을 통해 지역 중소ㆍ중견기업-대학 학생연구원 간 산학공동 에너지프로젝트 운영 및 기획을 지원하고자 하오니 많은 관심과 참여를 부탁드립니다. ☞ 충청남도 소재 중소ㆍ중견기업(공고일 현재 사업자등록증 기준) ☞ 산학공동 에너지프로젝트 지원 - 연구개발 : 연구재료, 시제품 제작 지원 - 과제기획 : 전문가 컨설팅, 조사분석 및 사업기획 용역 지원","기술,충남,사업기획용역,에너지프로젝트,2026,조사분석,연구재료,산학공동,충남테크노파크,연구개발,시제품제작,충청남도,컨설팅,중견기업,중소기업",기술사업화/이전/지도,1420
264,대구광역시,대구테크노파크,수출,[대구] 2027년 지역 의료기기 토탈 마케팅 지원사업 WHX Dubai 2027 대구공동관 참가기업 모집 연장 공고,2026-08-20,2026-09-10,2026-08-21,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125655,,중소기업,재단법인 대구테크노파크에서는 대구광역시에서 지원하는「지역 의료기기 토탈 마케팅 지원사업」의 일환으로 지역 의료산업 기업을 대상으로 글로벌 시장개척 및 수출사업화 확대를 위하여 ‘2027 두바이 의료기기전시회(WHX Dubai 2027)’ 대구공동관 참가기업 모집을 아래와 같이 공고하오니 관심 있는 기업들의 많은 참여 바랍니다. ☞ 대구지역 내 소재한 의료산업 및 전ㆍ후방 연관 분야 중소ㆍ벤처기업으로 현재 영업활동 및 수출을 진행하고 있는 개인 또는 법인사업자 ☞ 공동관 부스 임차 및 시설장치ㆍ비품 임대 지원,"수출,대구,Dubai,WHX,2026,비품임대,시설장치,대구공동관,의료기기전시회,전후방,두바이,부스임차,의료산업,대구테크노파크,대구광역시,벤처기업,의료기기,마케팅,중소기업",해외진출,1434
